position,Polar Summer Max Temp,lon,lat
0.496479,245.450848,43.645366,-89.691733
0.497479,245.426517,43.641081,-89.691757
0.498479,245.402178,43.636796,-89.69178
0.499479,245.377833,43.63251,-89.691804
0.500479,245.353518,43.628224,-89.691828
0.501479,245.329183,43.623937,-89.691851
0.502479,245.304832,43.619649,-89.691875
0.503479,245.28048,43.615361,-89.691898
0.504479,245.256104,43.611072,-89.691922
0.505479,245.231775,43.606783,-89.691946
0.506479,245.207388,43.602492,-89.691969
0.507479,245.183051,43.598201,-89.691993
0.508479,245.158688,43.59391,-89.692016
0.509479,245.134279,43.589617,-89.69204
0.510479,245.109934,43.585325,-89.692063
0.511479,245.085549,43.581031,-89.692087
0.512479,245.061176,43.576737,-89.69211
0.513479,245.036793,43.572442,-89.692134
0.514479,245.012409,43.568146,-89.692158
0.515479,244.988015,43.56385,-89.692181
0.516479,244.96362,43.559553,-89.692205
0.517479,244.939151,43.555256,-89.692228
0.518479,244.914805,43.550958,-89.692252
0.519479,244.8904,43.546659,-89.692275
0.520479,244.86599,43.542359,-89.692299
0.521479,244.841575,43.538059,-89.692322
0.522479,244.817092,43.533758,-89.692346
0.523479,244.792694,43.529457,-89.692369
0.524479,244.768307,43.525155,-89.692393
0.525479,244.743874,43.520852,-89.692417
0.526479,244.719444,43.516548,-89.69244
0.527479,244.694958,43.512244,-89.692464
0.528479,244.670528,43.50794,-89.692487
0.529479,244.646122,43.503634,-89.692511
0.530479,244.621679,43.499328,-89.692534
0.531479,244.597176,43.495021,-89.692558
0.532479,244.572763,43.490714,-89.692581
0.533479,244.548301,43.486406,-89.692605
0.534211,244.530399,43.483252,-89.692622
0.535211,244.5212,43.487482,-89.692646
0.536211,244.516559,43.491714,-89.69267
0.537211,244.511413,43.495945,-89.692694
0.538211,244.506982,43.500178,-89.692718
0.539211,244.502196,43.504411,-89.692742
0.540211,244.497183,43.508645,-89.692766
0.541211,244.492615,43.512879,-89.692789
0.542211,244.487795,43.517114,-89.692813
0.543211,244.483009,43.52135,-89.692837
0.544211,244.478132,43.525587,-89.692861
0.545211,244.473469,43.529824,-89.692885
0.546211,244.468683,43.534061,-89.692909
0.547211,244.463896,43.5383,-89.692933
0.548211,244.459073,43.542539,-89.692957
0.549211,244.45432,43.546779,-89.692981
0.550211,244.44953,43.551019,-89.693005
0.551211,244.444739,43.55526,-89.693029
0.552211,244.439953,43.559502,-89.693052
0.553211,244.435166,43.563744,-89.693076
0.554211,244.43022,43.567987,-89.6931
0.555211,244.425594,43.572231,-89.693124
0.556211,244.420807,43.576475,-89.693148
0.557211,244.416021,43.58072,-89.693172
0.558211,244.410904,43.584966,-89.693196
0.559211,244.406448,43.589212,-89.69322
0.560211,244.401411,43.593459,-89.693244
0.561211,244.396864,43.597707,-89.693267
0.562211,244.391675,43.601955,-89.693291
0.563211,244.387291,43.606204,-89.693315
0.564211,244.38247,43.610454,-89.693339
0.565211,244.377718,43.614704,-89.693363
0.566211,244.372932,43.618955,-89.693387
0.567211,244.36811,43.623207,-89.693411
0.568211,244.363359,43.627459,-89.693435
0.569211,244.358534,43.631712,-89.693458
0.570211,244.353778,43.635966,-89.693482
0.571211,244.348992,43.64022,-89.693506
0.572211,244.343976,43.644475,-89.69353
0.573211,244.33938,43.64873,-89.693554
0.574211,244.334629,43.652987,-89.693578
0.575211,244.329807,43.657244,-89.693602
0.576211,244.325057,43.661501,-89.693625
0.577211,244.32027,43.665759,-89.693649
0.578211,244.315448,43.670018,-89.693673
0.579211,244.310658,43.674278,-89.693697
0.580211,244.305903,43.678538,-89.693721
0.581211,244.300938,43.682799,-89.693745
0.582211,244.29611,43.687061,-89.693769
0.583211,244.291544,43.691323,-89.693792
0.584211,244.286135,43.695586,-89.693816
0.585211,244.28143,43.699849,-89.69384
0.586211,244.277181,43.704114,-89.693864
0.587211,244.272359,43.708379,-89.693888
0.588211,244.267193,43.712644,-89.693912
0.589211,244.262782,43.71691,-89.693935
0.590211,244.257991,43.721177,-89.693959
0.591211,244.252903,43.725445,-89.693983
0.592211,244.248455,43.729713,-89.694007
0.593211,244.243669,43.733982,-89.694031
